fecha,letra,share_mujer
2009-08-01,A,.10334568
2009-08-01,B,.079161532
2009-08-01,C,.18094635
2009-08-01,D,.16494687
2009-08-01,E,.08392372
2009-08-01,F,.047838908
2009-08-01,G,.34754333
2009-08-01,H,.081938989
2009-08-01,I,.43070641
2009-08-01,J,.33255213
2009-08-01,K,.48453495
2009-08-01,L,.33914968
2009-08-01,M,.43105993
2009-08-01,N,.338424
2009-08-01,O,.44468588
2009-08-01,P,.73920083
2009-08-01,Q,.73240709
2009-08-01,R,.39858553
2009-08-01,S,.47325855
2009-08-01,U,.54886687
2009-08-01,Z,.22026432
2009-09-01,A,.10552651
2009-09-01,B,.078789189
2009-09-01,C,.18122885
2009-09-01,D,.16524398
2009-09-01,E,.083655365
2009-09-01,F,.04805791
2009-09-01,G,.3469221
2009-09-01,H,.081835501
2009-09-01,I,.43113422
2009-09-01,J,.33242923
2009-09-01,K,.48562193
2009-09-01,L,.33973831
2009-09-01,M,.43120876
2009-09-01,N,.3387644
2009-09-01,O,.4403027
2009-09-01,P,.7389757
2009-09-01,Q,.73249787
2009-09-01,R,.40050164
2009-09-01,S,.4741427
2009-09-01,U,.54989386
2009-09-01,Z,.22268908
2009-10-01,A,.11522998
2009-10-01,B,.078296229
2009-10-01,C,.18122861
2009-10-01,D,.16520225
2009-10-01,E,.08255516
2009-10-01,F,.047892258
2009-10-01,G,.34728205
2009-10-01,H,.082653038
2009-10-01,I,.43236494
2009-10-01,J,.33305666
2009-10-01,K,.48627001
2009-10-01,L,.34145978
2009-10-01,M,.43169713
2009-10-01,N,.33721405
2009-10-01,O,.44708389
2009-10-01,P,.73847735
2009-10-01,Q,.73260802
2009-10-01,R,.39865303
2009-10-01,S,.4747631
2009-10-01,U,.54816902
2009-10-01,Z,.22293252
2009-11-01,A,.12493345
2009-11-01,B,.077803269
2009-11-01,C,.18122837
2009-11-01,D,.16516051
2009-11-01,E,.081454948
2009-11-01,F,.047726609
2009-11-01,G,.34764197
2009-11-01,H,.083470576
2009-11-01,I,.43359563
2009-11-01,J,.33368409
2009-11-01,K,.48691809
2009-11-01,L,.34318125
2009-11-01,M,.43218547
2009-11-01,N,.33566371
2009-11-01,O,.45386511
2009-11-01,P,.73797899
2009-11-01,Q,.73271817
2009-11-01,R,.39680439
2009-11-01,S,.47538349
2009-11-01,U,.54644412
2009-11-01,Z,.22317597
2009-12-01,A,.11646517
2009-12-01,B,.07847508
2009-12-01,C,.18275337
2009-12-01,D,.16601083
2009-12-01,E,.081551664
2009-12-01,F,.049648743
2009-12-01,G,.35162914
2009-12-01,H,.082901597
2009-12-01,I,.4361378
2009-12-01,J,.33389866
2009-12-01,K,.48835373
2009-12-01,L,.34594086
2009-12-01,M,.43497932
2009-12-01,N,.33337823
2009-12-01,O,.4747515
2009-12-01,P,.73728532
2009-12-01,Q,.73244148
2009-12-01,R,.39706159
2009-12-01,S,.47250158
2009-12-01,U,.5476529
2009-12-01,Z,.23245615
2010-01-01,A,.11844618
2010-01-01,B,.077891432
2010-01-01,C,.18450961
2010-01-01,D,.16572042
2010-01-01,E,.081279963
2010-01-01,F,.050342992
2010-01-01,G,.35270494
2010-01-01,H,.082421377
2010-01-01,I,.43994686
2010-01-01,J,.33433214
2010-01-01,K,.48840544
2010-01-01,L,.34836313
2010-01-01,M,.43570566
2010-01-01,N,.32866737
2010-01-01,O,.4721674
2010-01-01,P,.73874968
2010-01-01,Q,.73232138
2010-01-01,R,.40160975
2010-01-01,S,.46930954
2010-01-01,U,.54787618
2010-01-01,Z,.21761657
2010-02-01,A,.12223044
2010-02-01,B,.078155391
2010-02-01,C,.18495668
2010-02-01,D,.16599366
2010-02-01,E,.079293825
2010-02-01,F,.049749352
2010-02-01,G,.35186139
2010-02-01,H,.08271721
2010-02-01,I,.43946189
2010-02-01,J,.33497933
2010-02-01,K,.4889265
2010-02-01,L,.34831312
2010-02-01,M,.43266416
2010-02-01,N,.33167732
2010-02-01,O,.47433981
2010-02-01,P,.73915005
2010-02-01,Q,.73245615
2010-02-01,R,.39864451
2010-02-01,S,.46937639
2010-02-01,U,.54538906
2010-02-01,Z,.21538462
2010-03-01,A,.12116991
2010-03-01,B,.07812988
2010-03-01,C,.18421757
2010-03-01,D,.16583233
2010-03-01,E,.079809517
2010-03-01,F,.048958853
2010-03-01,G,.34892797
2010-03-01,H,.08230827
2010-03-01,I,.43568653
2010-03-01,J,.33412522
2010-03-01,K,.4884432
2010-03-01,L,.34578922
2010-03-01,M,.43307987
2010-03-01,N,.33221769
2010-03-01,O,.47962162
2010-03-01,P,.73781002
2010-03-01,Q,.73287189
2010-03-01,R,.39710304
2010-03-01,S,.47035202
2010-03-01,U,.54780734
2010-03-01,Z,.2029703
2010-04-01,A,.11514126
2010-04-01,B,.077631019
2010-04-01,C,.18284148
2010-04-01,D,.16583396
2010-04-01,E,.07943742
2010-04-01,F,.049478687
2010-04-01,G,.34828758
2010-04-01,H,.081966184
2010-04-01,I,.43485644
2010-04-01,J,.33521527
2010-04-01,K,.4895097
2010-04-01,L,.3451094
2010-04-01,M,.43349248
2010-04-01,N,.33142561
2010-04-01,O,.47620463
2010-04-01,P,.73926789
2010-04-01,Q,.73235738
2010-04-01,R,.40006557
2010-04-01,S,.47127983
2010-04-01,U,.54827088
2010-04-01,Z,.23943663
2010-05-01,A,.10687502
2010-05-01,B,.077295862
2010-05-01,C,.18107529
2010-05-01,D,.16593952
2010-05-01,E,.079720661
2010-05-01,F,.049618062
2010-05-01,G,.34896082
2010-05-01,H,.081265785
2010-05-01,I,.43287864
2010-05-01,J,.33333334
2010-05-01,K,.4907566
2010-05-01,L,.34665757
2010-05-01,M,.43527719
2010-05-01,N,.33370271
2010-05-01,O,.48376787
2010-05-01,P,.73896718
2010-05-01,Q,.73198605
2010-05-01,R,.39937815
2010-05-01,S,.47245407
2010-05-01,U,.54838711
2010-05-01,Z,.21621622
2010-06-01,A,.10552693
2010-06-01,B,.077863358
2010-06-01,C,.18162294
2010-06-01,D,.16648646
2010-06-01,E,.081174389
2010-06-01,F,.049647648
2010-06-01,G,.34950501
2010-06-01,H,.081422709
2010-06-01,I,.43357733
2010-06-01,J,.33311716
2010-06-01,K,.49183077
2010-06-01,L,.34675434
2010-06-01,M,.43655646
2010-06-01,N,.33255336
2010-06-01,O,.48844162
2010-06-01,P,.73807532
2010-06-01,Q,.73214889
2010-06-01,R,.4030399
2010-06-01,S,.47341412
2010-06-01,U,.55167496
2010-06-01,Z,.23502304
2010-07-01,A,.10104612
2010-07-01,B,.076813132
2010-07-01,C,.18041132
2010-07-01,D,.16581954
2010-07-01,E,.08006753
2010-07-01,F,.049637377
2010-07-01,G,.3506144
2010-07-01,H,.082070187
2010-07-01,I,.4354941
2010-07-01,J,.33460826
2010-07-01,K,.49225658
2010-07-01,L,.34884596
2010-07-01,M,.43733445
2010-07-01,N,.33218068
2010-07-01,O,.48383948
