fecha,clae3,share_mujer
2007-03-01,475,.25655347
2007-03-01,476,.48755476
2007-03-01,477,.59421617
2007-03-01,478,.40862945
2007-03-01,479,.41385135
2007-03-01,491,.094051667
2007-03-01,492,.051778015
2007-03-01,493,.099021301
2007-03-01,501,.20238957
2007-03-01,502,.1183941
2007-03-01,511,.3800475
2007-03-01,512,.29212254
2007-03-01,521,.043144654
2007-03-01,522,.16234913
2007-03-01,523,.24579723
2007-03-01,524,.11916594
2007-03-01,530,.1499528
2007-03-01,551,.52747154
2007-03-01,552,.26589596
2007-03-01,561,.35622907
2007-03-01,562,.45458272
2007-03-01,581,.37506595
2007-03-01,591,.39753833
2007-03-01,592,.3556338
2007-03-01,601,.30563852
2007-03-01,602,.25394097
2007-03-01,611,.34042481
2007-03-01,612,.47589424
2007-03-01,613,.27361563
2007-03-01,614,.41587722
2007-03-01,619,.3359375
2007-03-01,620,.31401876
2007-03-01,631,.38909018
2007-03-01,639,.3539288
2007-03-01,641,.40316567
2007-03-01,642,.44680852
2007-03-01,643,.375
2007-03-01,649,.50854981
2007-03-01,651,.50839221
2007-03-01,652,.42222223
2007-03-01,653,.59209365
2007-03-01,661,.41239002
2007-03-01,662,.53481084
2007-03-01,663,.45266989
2007-03-01,681,.30469471
2007-03-01,682,.39516598
2007-03-01,691,.69692612
2007-03-01,692,.6276654
2007-03-01,702,.33847329
2007-03-01,711,.12865497
2007-03-01,712,.24486749
2007-03-01,721,.55591702
2007-03-01,722,.66407984
2007-03-01,731,.46845436
2007-03-01,732,.57118982
2007-03-01,741,.44763091
2007-03-01,742,.44144145
2007-03-01,749,.35024914
2007-03-01,750,.43997362
2007-03-01,771,.10614372
2007-03-01,772,.42791763
2007-03-01,773,.15089673
2007-03-01,774,.28617886
2007-03-01,780,.26212847
2007-03-01,791,.52778727
2007-03-01,801,.092397623
2007-03-01,811,.35793358
2007-03-01,812,.49296051
2007-03-01,813,.12405238
2007-03-01,821,.33314857
2007-03-01,822,.570934
2007-03-01,823,.49004975
2007-03-01,829,.35101417
2007-03-01,841,.46614063
