fecha,zona_prov,share_mujer
2008-10-01,CAPITAL FEDERAL,.37051588
2008-10-01,CATAMARCA,.25089422
2008-10-01,CHACO,.2261934
2008-10-01,CHUBUT,.24809435
2008-10-01,CORDOBA,.3111361
2008-10-01,CORRIENTES,.20343988
2008-10-01,ENTRE RIOS,.28192928
2008-10-01,FORMOSA,.20360008
2008-10-01,JUJUY,.20758876
2008-10-01,LA PAMPA,.28063327
2008-10-01,LA RIOJA,.25563911
2008-10-01,MENDOZA,.27485967
2008-10-01,MISIONES,.19682053
2008-10-01,NEUQUEN,.26121718
2008-10-01,RIO NEGRO,.3105908
2008-10-01,SALTA,.23771535
2008-10-01,SAN JUAN,.23854364
2008-10-01,SAN LUIS,.2552087
2008-10-01,SANTA CRUZ,.22979507
2008-10-01,SANTA FE,.28277013
2008-10-01,SANTIAGO DEL ESTERO,.25723481
2008-10-01,TIERRA DEL FUEGO,.29854649
2008-10-01,TUCUMAN,.25056666
2008-11-01,BUENOS AIRES,.31176752
2008-11-01,CAPITAL FEDERAL,.37071422
2008-11-01,CATAMARCA,.24242519
2008-11-01,CHACO,.22811259
2008-11-01,CHUBUT,.2476977
2008-11-01,CORDOBA,.3132692
2008-11-01,CORRIENTES,.20287806
2008-11-01,ENTRE RIOS,.28142351
2008-11-01,FORMOSA,.20659858
2008-11-01,JUJUY,.21255633
2008-11-01,LA PAMPA,.28058043
2008-11-01,LA RIOJA,.25795981
2008-11-01,MENDOZA,.27944592
2008-11-01,MISIONES,.20213559
2008-11-01,NEUQUEN,.26296151
2008-11-01,RIO NEGRO,.30530035
2008-11-01,SALTA,.23629247
2008-11-01,SAN JUAN,.24110372
2008-11-01,SAN LUIS,.25667068
2008-11-01,SANTA CRUZ,.2331845
2008-11-01,SANTA FE,.28407514
2008-11-01,SANTIAGO DEL ESTERO,.25125128
2008-11-01,TIERRA DEL FUEGO,.29904649
2008-11-01,TUCUMAN,.26082438
2008-12-01,BUENOS AIRES,.31183705
2008-12-01,CAPITAL FEDERAL,.37148389
2008-12-01,CATAMARCA,.25316906
2008-12-01,CHACO,.23138846
2008-12-01,CHUBUT,.25549144
2008-12-01,CORDOBA,.31613815
2008-12-01,CORRIENTES,.20294654
2008-12-01,ENTRE RIOS,.27155349
2008-12-01,FORMOSA,.2106252
2008-12-01,JUJUY,.22756045
2008-12-01,LA PAMPA,.28476027
2008-12-01,LA RIOJA,.25944191
2008-12-01,MENDOZA,.28579426
2008-12-01,MISIONES,.20474204
2008-12-01,NEUQUEN,.26856259
2008-12-01,RIO NEGRO,.31474292
2008-12-01,SALTA,.24714544
2008-12-01,SAN JUAN,.2496983
2008-12-01,SAN LUIS,.25091222
2008-12-01,SANTA CRUZ,.23461671
2008-12-01,SANTA FE,.28387985
2008-12-01,SANTIAGO DEL ESTERO,.25373852
2008-12-01,TIERRA DEL FUEGO,.29921287
2008-12-01,TUCUMAN,.26664895
2009-01-01,BUENOS AIRES,.31494346
2009-01-01,CAPITAL FEDERAL,.36867428
2009-01-01,CATAMARCA,.25178123
2009-01-01,CHACO,.23161577
2009-01-01,CHUBUT,.25479066
2009-01-01,CORDOBA,.32085401
2009-01-01,CORRIENTES,.20193163
2009-01-01,ENTRE RIOS,.26853007
2009-01-01,FORMOSA,.2112764
2009-01-01,JUJUY,.22639242
2009-01-01,LA PAMPA,.28314519
2009-01-01,LA RIOJA,.25450641
2009-01-01,MENDOZA,.29238099
2009-01-01,MISIONES,.20359151
2009-01-01,NEUQUEN,.268392
2009-01-01,RIO NEGRO,.30684629
2009-01-01,SALTA,.25647891
2009-01-01,SAN JUAN,.24603854
2009-01-01,SAN LUIS,.2470153
2009-01-01,SANTA CRUZ,.23199308
2009-01-01,SANTA FE,.28241625
2009-01-01,SANTIAGO DEL ESTERO,.25155878
2009-01-01,TIERRA DEL FUEGO,.29897827
2009-01-01,TUCUMAN,.26640156
2009-02-01,BUENOS AIRES,.3163771
2009-02-01,CAPITAL FEDERAL,.368806
2009-02-01,CATAMARCA,.24568355
2009-02-01,CHACO,.23142369
2009-02-01,CHUBUT,.25152043
2009-02-01,CORDOBA,.31947312
2009-02-01,CORRIENTES,.20238668
2009-02-01,ENTRE RIOS,.27039644
2009-02-01,FORMOSA,.20946363
2009-02-01,JUJUY,.22448543
2009-02-01,LA PAMPA,.2839455
2009-02-01,LA RIOJA,.24795932
2009-02-01,MENDOZA,.29173216
2009-02-01,MISIONES,.2018683
2009-02-01,NEUQUEN,.26758602
2009-02-01,RIO NEGRO,.30781302
2009-02-01,SALTA,.25763685
2009-02-01,SAN JUAN,.2410087
